tag,name,subsidiary_of,rating,result page variation,aliases,total,Rank - Total,preserve,data_sources,reason,country,recommended_in,Top 3 Ethical,website,description,total-USD,total-AUD,total-CAD,total-EUR,total-GBP,checkings/savings offered,reviewed_by,custom_text_status,Unique Statement,headline,dirty deal 1,dirty deal 2,Notes,zak's crazy filter,dirty deals link,Our Take,From the website,Checking & Savings Accounts,Checking & Savings Accounts custom,Mobile & Online Banking,Branches Available,Branches Available custom,Mobile & Online Banking custom,Free International Card Payments,Free ATM Withdrawals,Free Checking Account Available,Interest Rates,Credit Card,Deposit Protection,Mortgage or Loan Options,Free ATM Withdrawals custom,Free Checking Account Available custom,Free International Card Payments custom,Credit Card custom,Mortgage or Loan Options custom,top blurb,top blurb headline,permid,isin,viafid,lei
charity_bank,Charity Bank,,great,gabv,charity bank,,,,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",United Kingdom,,,www.charitybank.org,"Charity Bank is an ethical savings and loans bank with a mission to use money for good.    Charity Bank lends solely to charities, social enterprises and other organisations where the loan is for social purpose. Since 2002, it has used the money saved with it to provide over £170 million of loan finance to support organisations which are working to enrich and improve society.      Savings with Charity Bank become part of a social mission. They may be used to extend sports centres, increase access to education for excluded young people, open a safe house for victims of domestic violence, provide homes for those on low incomes or regenerate deprived areas of the country, as examples.    Charity Bank is entirely owned by charitable foundations, trusts and social purpose organisations. Charity Bank works in, and for, the social sector. Almost two-thirds of the projects financed by Charity Bank would not have gone ahead otherwise. Its loans support a wide range of organisations, including arts, community, education, environment, faith, health, housing, regeneration, social care and sports.",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Your money is definitely not funding the fossil fuel industry. Your bank believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step!",Your bank is doing great. ,,,,
microvest_capital_management_llc,"MicroVest Capital Management, LLC",,ok,bimpact,microvest capital management llc,,,,bimpact,"This rating was based on MicroVest Capital Management, LLC's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.microvestfund.com,"MicroVest is an asset manager that specializes in allocating private debt capital to Responsible Financial Institutions or “RFIs” in emerging and frontier markets. As one of the first U.S.-based microfinance investors, MicroVest has built a track record since 2003 of investing in microfinance institutions (MFIs) and small and medium enterprise (SME) financial institutions whose interests are aligned with the borrowers and communities they serve.  By catalyzing the availability of credit to Responsible Financial Institutions — many of which serve as the first provider of formal credit to micro entrepreneurs and small businesses — MicroVest is helping the right institutions scale, which deepens financial sector development, fuels local economic growth, facilitates financial inclusion, promotes gender equality, and reduces poverty. This in turn, allows underbanked communities to access quality financial services, thereby improving their financial health and well-being. Since its founding, MicroVest has disbursed more than $1 billion to over 200 RFIs in more than 60 emerging and frontier countries.",$29,$40,$39,€26,£22.64,unclear,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
circle_alliance_bank,CIRCLE Alliance Bank,,great,bimpact,circle alliance bank,,,,"bimpact,marketforces",This rating is based on the marketforces.org.au verification that CIRCLE Alliance Bank does not invest in fossl fuels.,Australia,,,www.circle.com.au,"CIRCLE's goal is to use banking as a force for good. They are a customer owned company supplying low fee banking services. By using their ""Do Good Banking"" products a return to the community is generated resulting in investment in social impact initiatives.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
habito,Habito,,ok,bimpact,habito,,,,bimpact,"This rating was based on Habito's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United Kingdom,,,www.habito.com,"Habito launched in April 2016 with a vision to digitise the aspects of home financing and buying which still remain a pain point for so many homeowners, buy-to-let investors and first time buyers across the UK. They have since grown to become the UK’s best-known digital mortgage broker, voted Best Mortgage Broker in the British Bank Awards 2020. So far, they’ve helped more than 320,000 people in the UK access free, whole-of-market mortgage advice and, as a lender, have brought to market highly innovative mortgage products designed and built around customers’ needs. They’re on a mission to make mortgages easier for anyone who wants to own a home in the UK. The tide is turning on traditional home financing and they’re here to usher in a new future that combines the very best of human expertise with the efficacy of technology to reduce cost, stress, time and friction for all involved, whilst positively impacting the world around us.  They’re passionate about People and Planet, ensuring they are intrinsically woven into every decision they make and every product or process they design.",$29,$40,$39,€26,£22.64,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
assiniboine_credit_union,Assiniboine Credit Union,,ok,bimpact,assiniboine credit union,,,,bimpact,"This rating was based on Assiniboine Credit Union's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Canada,,,assiniboine.mb.ca,"Money doing more. This simple thought holds a bigger truth. It represents the way ACU does business, their promise to the members and a commitment to the communities they live and work in. ACU is guided by the principles of ""values-based banking"", meaning that the credit union remains financially strong while being socially, environmentally and ethically responsible. ACU believes that money can and should, be used for good. To bring financial comfort, to help people's lives and to improve the environment. ACU is fortunate to be in a position to be able to use the credit union's expertise and resources to nurture self-reliant and sustainable communities, to help those less fortunate, and to help members achieve the quality of life they're seeking. All the while, ACU remains critically aware of the impact of business decisions on employees, members, the environment and on the communities their credit union serves. ACU will never forget that their members are also the owners of Assiniboine Credit Union. They've shaped the credit union, they're pretty happy with the results and feel good about being part of something bigger, a financial co-operative that's dedicated to the triple bottom line of improving the lives of people, bettering the planet and creating prosperity.",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
bdcu_alliance_bank,BDCU Alliance Bank,,great,bimpact,bdcu alliance bank,,,,"bimpact,marketforces",This rating is based on the marketforces.org.au verification that BDCU Alliance Bank does not invest in fossl fuels.,Australia,,,www.bdcualliancebank.com.au,A mutually owned organisation that seeks to make its community better tomorrow than it is today. Through the concept of Shared Value it invests in the community and its members to achieve a result for mutual benefit.   BDCU Alliance Bank seeks a continuous monitoring and improvement in the measured outputs across the organisation.,$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. Ethical bank?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern_bancorp_inc,"Southern Bancorp, Inc.",,ok,gabv,southern bancorp inc,,,,"bimpact,gabv","This rating was based on Southern Bancorp, Inc.'s membership in the Global Alliance of Banking Values. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,banksouthern.com,Southern Bancorp helps underserved families and communities grow financially stronger by combining traditional banking and lending services with financial development tools ranging from credit counseling to public policy advocacy.,$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
lombard_odier,Lombard Odier,,ok,bimpact,lombard odier,,,,bimpact,"This rating was based on Lombard Odier's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Switzerland,,,www.lombardodier.com/home.html,"Founded in 1796, Lombard Odier, has served their clients for seven generations and grown stronger through 40 financial crises. They have been rethinking the world around them for over 220 years and sustainability is at the heart of everything they do. Today, they look after over CHF 259bn of client total assets and their purpose is to help entrepreneurs, families and private individuals preserve, grow and transmit their assets, responsibly, over time. As a privately owned bank, they're free from market pressures and external public shareholders looking for ever-improving quarterly results. Instead, they can focus on serving their clients for the long term. Their ambition is to secure a sustainable future for generations to come. At Lombard Odier they believe sustainability is the largest investment opportunity in history, and B Corp recognition is another milestone in their journey to act as both a profitable and a purposeful business. As a leading financial institution, they are determined to make a positive contribution to society.",$29,$40,$39,€26,£22.64,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,153016344,
business_development_bank_of_canada,Business Development Bank of Canada,,ok,bimpact,business development bank of canada,,,,bimpact,"This rating was based on Business Development Bank of Canada's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Canada,,,www.bdc.ca,"BDC is the only bank devoted exclusively to entrepreneurs. It promotes Canadian entrepreneurship with a focus on small and medium-sized businesses. With its 110+ business centres from coast to coast, BDC provides entrepreneurs in all industries with financing and advisory services. Its investment arm, BDC Capital, offers equity, venture capital as well as customized growth and business transition capital. Note: This company or an affiliated individual or entity has made a philanthropic contribution to B Lab within the parameters of its conflict of interest policy. For more information visit the funders and finances section of this website.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,141840324,
obank,O-Bank,,ok,bimpact,obank,,,,bimpact,"This rating was based on O-Bank's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Taiwan,,,www.o-bank.com,"Founded in 1999, O-Bank Co., Ltd., formerly known as Industrial Bank of Taiwan (IBT), has had a deep-rooted conviction in financial inclusion and innovations. After mainly serving corporate and institutional clients for more than a decade as a boutique investment bank, the Bank formally restructured and changed its name to “O-Bank” in 2017, entering the retail banking market and aiming to provide consumers a convenient, reliable, and user-centric banking experience with the help of digital financial technology. As the first native digital bank in Taiwan, O-Bank provides innovative and inclusive financial products and services that aim to serve the underserved.",$29,$40,$39,€26,£22.64,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
assimoco_spa,Assimoco S.p.A.,,ok,bimpact,assimoco spa,,,,bimpact,"This rating was based on Assimoco S.p.A.'s certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Italy,,,www.assimoco.it,"The Assimoco Group was established in 1978 and was the first Italian Insurance Company of the “Movimento Cooperativo” (Cooperative Movement) in non-life bank assurance sector with the sale of homeowner’s insurance policies via a partnership with the “Banche di credito Cooperativo” (BCC) (Cooperative credit banks). The Group’s headquarters are located in Segrate where approximately 400 employees work to manage more than 700 thousand customers. Assimoco is one of the best companies to work for in Italy, in fact, in 2015 Assimoco made its debut in the Best Workplaces in Italy ranking, and was assigned 19th place out of the 23 award-winning companies. In 2018 the company achieved 16th place in the ranking reserved for small and medium-sized companies. The shareholders are R+V Versicherung AG, a leading insurance group in Germany and is the flagship company of the German Cooperative Sector; “Federazione delle Cooperative Raiffeisen” (Federation of Raiffeisen Cooperatives); Fondosviluppo; Confcooperative (Confederazione Cooperative Italiane - Italian Confederation of Cooperatives) and “Credito Cooperativo” (BCC).",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
raiffeisen_servizi_assicurativi_srl,Raiffeisen Servizi Assicurativi Srl,,ok,bimpact,raiffeisen servizi assicurativi srl,,,,bimpact,"This rating was based on Raiffeisen Servizi Assicurativi Srl's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Italy,,,www.rvd.bz.it/it.html,"The Raiffeisen Versicherungsdienst Ltd is the insurance specialist in the Autonomous Province of Bolzano - South Tyrol (Italy). The company offers, regardless of income and financial possibilities, an optimal coverage of personal needs. Since its foundation in 1990 the company creates the conditions for the Raiffeisen Banks in South Tyrol to carry out the insurance business in favor of local private households and businesses. By specially developed insurance solutions the Raiffeisen Versicherungsdienst offers a unique insurance coverage to families in order to provide them access to non-public health services and protection against financial difficulties in the event of disability or death. In the corporate customer segment alike, the Raiffeisen Versicherungsdienst hedges small and medium-sized enterprises, craft enterprises and all other occupational categories of local minorities in the property, personal and casualty sector. Mountain farmers can make use of a customized insurance program in order to protect themselves against sever financial risks. Finally, the company’s bilingual customer assistance in the claims management presents a significant benefit for the linguistic minorities in remote areas of South Tyrol.",$29,$40,$39,€26,£22.64,unclear,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. Ethical bank?",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
big_path_capital,Big Path Capital,,ok,bimpact,big path capital,,,,bimpact,"This rating was based on Big Path Capital's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.bigpathcapital.com,"Big Path Capital is an investment bank advising companies, funds, and institutional investors that are advancing the sustainable economy. Big Path assists in raising debt and equity, corporate sales and divestitures, acquisitions, and strategic options.    A new model of value creation is emerging which deploys capital in strategies that leverages the inherent link between natural, social and financial capital. It is a fallacy to claim that the achievement of environmental and social returns on invested capital assumes a compromised financial return. Sustainable strategies actually enable differentiated competitive advantages and lead to long-term value creation. Big Path’s clients are those entrepreneurs, companies, funds and investors scaling sustainable solutions.    Big Path Capital seeks to accelerate the move to a sustainable economy. The economic base of today was built in an era of ample raw materials, inexpensive energy, and limited consideration of waste. That age has passed. Current dynamics are increasingly rewarding companies that operate sustainably.",$29,$40,$39,€26,£22.64,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
awa_alliance_bank,AWA Alliance Bank,,great,bimpact,awa alliance bank,,,,"bimpact,marketforces",This rating is based on the marketforces.org.au verification that AWA Alliance Bank does not invest in fossl fuels.,Australia,,,www.awaalliancebank.com.au,"AWA Alliance Bank is a not-about-profit business as their Members are also their owners, which allows them to channel their profits back to their Members by providing lower loan interest rates and competitive rates on deposits. Because AWA is Member owned, they focus on providing friendly, personal customer service and building real relationships with their Members and give back to the communities they live in through their community based programs and strategic partnerships.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do with this one: not listed on Bank Track, not listed anywhere in the latest RAN data. Ethical bank?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunrise_banks,Sunrise Banks,,ok,gabv,sunrise banks,,,,"bimpact,gabv","This rating was based on Sunrise Banks's membership in the Global Alliance of Banking Values. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.sunrisebanks.com,"Sunrise Banks, based in St. Paul, Minnesota, seeks to radically change the way urban communities and people thrive by empowering them to achieve financial wellness. Sunrise is certified by the U.S. Treasury as a Community Development Financial Institution (CDFI), a designation earned by approximately 100 banks nationwide.  Sunrise Banks uses a do good approach to their business model. The organization creates both people and place based products that make a difference in communities. Sunrise Banks is more than a bank; they create strong relationships and look for multiple ways to make an impact. It's quite simple: believe in the power of business as a force for good and your impact will be multiplied.  Sunrise Banks's mission focused approach, national charter, and innovative spirit, have catapulted the organization onto national platforms. Their lending is local, but their community development scope is national.",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
we_family_offices_llc,WE Family Offices LLC,,ok,bimpact,we family offices llc,,,,bimpact,"This rating was based on WE Family Offices LLC's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.wefamilyoffices.com,"WE Family Offices was founded in 2000 as TBK Investments and was subsequently purchased by a major bank holding company. In 2013 the executive management team reclaimed the firm’s independence and created WE Family Offices, a new independent, fee-only fiduciary firm. As of Dec 31, 2017, WE Family Offices advises or reports on more than $9 billion in assets. They currently work with about 70 families in the U.S. and abroad. They currently have more than 40 staff members, with a client to employee ratio of approximately 1:1.5.",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
